id,styleId,styleName,category,visual,density,pageType,pageName,filename,status
documentary-bw-cover,documentary-bw,黑白纪实摄影,真实与摄影,黑白纪实摄影,中,cover,封面页,documentary-bw-cover.png,generated
documentary-bw-agenda,documentary-bw,黑白纪实摄影,真实与摄影,黑白纪实摄影,中,agenda,目录页,documentary-bw-agenda.png,generated
documentary-bw-section,documentary-bw,黑白纪实摄影,真实与摄影,黑白纪实摄影,中,section,过渡页,documentary-bw-section.png,generated
documentary-bw-text,documentary-bw,黑白纪实摄影,真实与摄影,黑白纪实摄影,中,text,纯文字页,documentary-bw-text.png,generated
documentary-bw-image-text,documentary-bw,黑白纪实摄影,真实与摄影,黑白纪实摄影,中,image-text,文字图片页,documentary-bw-image-text.png,generated
documentary-bw-data,documentary-bw,黑白纪实摄影,真实与摄影,黑白纪实摄影,中,data,数据/要点页,documentary-bw-data.png,generated
documentary-bw-closing,documentary-bw,黑白纪实摄影,真实与摄影,黑白纪实摄影,中,closing,结尾页,documentary-bw-closing.png,generated
editorial-fashion-cover,editorial-fashion,杂志大片摄影,真实与摄影,杂志大片摄影,中,cover,封面页,editorial-fashion-cover.png,generated
editorial-fashion-agenda,editorial-fashion,杂志大片摄影,真实与摄影,杂志大片摄影,中,agenda,目录页,editorial-fashion-agenda.png,generated
editorial-fashion-section,editorial-fashion,杂志大片摄影,真实与摄影,杂志大片摄影,中,section,过渡页,editorial-fashion-section.png,generated
editorial-fashion-text,editorial-fashion,杂志大片摄影,真实与摄影,杂志大片摄影,中,text,纯文字页,editorial-fashion-text.png,generated
editorial-fashion-image-text,editorial-fashion,杂志大片摄影,真实与摄影,杂志大片摄影,中,image-text,文字图片页,editorial-fashion-image-text.png,generated
editorial-fashion-data,editorial-fashion,杂志大片摄影,真实与摄影,杂志大片摄影,中,data,数据/要点页,editorial-fashion-data.png,generated
editorial-fashion-closing,editorial-fashion,杂志大片摄影,真实与摄影,杂志大片摄影,中,closing,结尾页,editorial-fashion-closing.png,generated
film-grain-cover,film-grain,胶片颗粒,真实与摄影,胶片颗粒,中,cover,封面页,film-grain-cover.png,generated
film-grain-agenda,film-grain,胶片颗粒,真实与摄影,胶片颗粒,中,agenda,目录页,film-grain-agenda.png,generated
film-grain-section,film-grain,胶片颗粒,真实与摄影,胶片颗粒,中,section,过渡页,film-grain-section.png,generated
film-grain-text,film-grain,胶片颗粒,真实与摄影,胶片颗粒,中,text,纯文字页,film-grain-text.png,generated
film-grain-image-text,film-grain,胶片颗粒,真实与摄影,胶片颗粒,中,image-text,文字图片页,film-grain-image-text.png,generated
film-grain-data,film-grain,胶片颗粒,真实与摄影,胶片颗粒,中,data,数据/要点页,film-grain-data.png,generated
film-grain-closing,film-grain,胶片颗粒,真实与摄影,胶片颗粒,中,closing,结尾页,film-grain-closing.png,generated
high-key-ethereal-cover,high-key-ethereal,高调仙气摄影,真实与摄影,高调仙气摄影,中,cover,封面页,high-key-ethereal-cover.png,generated
high-key-ethereal-agenda,high-key-ethereal,高调仙气摄影,真实与摄影,高调仙气摄影,中,agenda,目录页,high-key-ethereal-agenda.png,generated
high-key-ethereal-section,high-key-ethereal,高调仙气摄影,真实与摄影,高调仙气摄影,中,section,过渡页,high-key-ethereal-section.png,generated
high-key-ethereal-text,high-key-ethereal,高调仙气摄影,真实与摄影,高调仙气摄影,中,text,纯文字页,high-key-ethereal-text.png,generated
high-key-ethereal-image-text,high-key-ethereal,高调仙气摄影,真实与摄影,高调仙气摄影,中,image-text,文字图片页,high-key-ethereal-image-text.png,generated
high-key-ethereal-data,high-key-ethereal,高调仙气摄影,真实与摄影,高调仙气摄影,中,data,数据/要点页,high-key-ethereal-data.png,generated
high-key-ethereal-closing,high-key-ethereal,高调仙气摄影,真实与摄影,高调仙气摄影,中,closing,结尾页,high-key-ethereal-closing.png,generated
low-key-drama-cover,low-key-drama,低调戏剧光,真实与摄影,低调戏剧光,中,cover,封面页,low-key-drama-cover.png,generated
low-key-drama-agenda,low-key-drama,低调戏剧光,真实与摄影,低调戏剧光,中,agenda,目录页,low-key-drama-agenda.png,generated
low-key-drama-section,low-key-drama,低调戏剧光,真实与摄影,低调戏剧光,中,section,过渡页,low-key-drama-section.png,generated
low-key-drama-text,low-key-drama,低调戏剧光,真实与摄影,低调戏剧光,中,text,纯文字页,low-key-drama-text.png,generated
low-key-drama-image-text,low-key-drama,低调戏剧光,真实与摄影,低调戏剧光,中,image-text,文字图片页,low-key-drama-image-text.png,generated
low-key-drama-data,low-key-drama,低调戏剧光,真实与摄影,低调戏剧光,中,data,数据/要点页,low-key-drama-data.png,generated
low-key-drama-closing,low-key-drama,低调戏剧光,真实与摄影,低调戏剧光,中,closing,结尾页,low-key-drama-closing.png,generated
museum-exhibition-cover,museum-exhibition,博物馆展陈摄影,真实与摄影,博物馆展陈摄影,中,cover,封面页,museum-exhibition-cover.png,generated
museum-exhibition-agenda,museum-exhibition,博物馆展陈摄影,真实与摄影,博物馆展陈摄影,中,agenda,目录页,museum-exhibition-agenda.png,generated
museum-exhibition-section,museum-exhibition,博物馆展陈摄影,真实与摄影,博物馆展陈摄影,中,section,过渡页,museum-exhibition-section.png,generated
museum-exhibition-text,museum-exhibition,博物馆展陈摄影,真实与摄影,博物馆展陈摄影,中,text,纯文字页,museum-exhibition-text.png,generated
museum-exhibition-image-text,museum-exhibition,博物馆展陈摄影,真实与摄影,博物馆展陈摄影,中,image-text,文字图片页,museum-exhibition-image-text.png,generated
museum-exhibition-data,museum-exhibition,博物馆展陈摄影,真实与摄影,博物馆展陈摄影,中,data,数据/要点页,museum-exhibition-data.png,generated
museum-exhibition-closing,museum-exhibition,博物馆展陈摄影,真实与摄影,博物馆展陈摄影,中,closing,结尾页,museum-exhibition-closing.png,generated
ink-wash-cover,ink-wash,水墨留白,中国传统美学,水墨留白,中,cover,封面页,ink-wash-cover.png,generated
ink-wash-agenda,ink-wash,水墨留白,中国传统美学,水墨留白,中,agenda,目录页,ink-wash-agenda.png,generated
ink-wash-section,ink-wash,水墨留白,中国传统美学,水墨留白,中,section,过渡页,ink-wash-section.png,generated
ink-wash-text,ink-wash,水墨留白,中国传统美学,水墨留白,中,text,纯文字页,ink-wash-text.png,generated
ink-wash-image-text,ink-wash,水墨留白,中国传统美学,水墨留白,中,image-text,文字图片页,ink-wash-image-text.png,generated
ink-wash-data,ink-wash,水墨留白,中国传统美学,水墨留白,中,data,数据/要点页,ink-wash-data.png,generated
ink-wash-closing,ink-wash,水墨留白,中国传统美学,水墨留白,中,closing,结尾页,ink-wash-closing.png,generated
gongbi-cover,gongbi,工笔重彩,中国传统美学,工笔重彩,中,cover,封面页,gongbi-cover.png,generated
gongbi-agenda,gongbi,工笔重彩,中国传统美学,工笔重彩,中,agenda,目录页,gongbi-agenda.png,generated
gongbi-section,gongbi,工笔重彩,中国传统美学,工笔重彩,中,section,过渡页,gongbi-section.png,generated
gongbi-text,gongbi,工笔重彩,中国传统美学,工笔重彩,中,text,纯文字页,gongbi-text.png,generated
gongbi-image-text,gongbi,工笔重彩,中国传统美学,工笔重彩,中,image-text,文字图片页,gongbi-image-text.png,generated
gongbi-data,gongbi,工笔重彩,中国传统美学,工笔重彩,中,data,数据/要点页,gongbi-data.png,generated
gongbi-closing,gongbi,工笔重彩,中国传统美学,工笔重彩,中,closing,结尾页,gongbi-closing.png,generated
ancient-scroll-cover,ancient-scroll,古卷轴,中国传统美学,古卷轴,中,cover,封面页,ancient-scroll-cover.png,generated
ancient-scroll-agenda,ancient-scroll,古卷轴,中国传统美学,古卷轴,中,agenda,目录页,ancient-scroll-agenda.png,generated
ancient-scroll-section,ancient-scroll,古卷轴,中国传统美学,古卷轴,中,section,过渡页,ancient-scroll-section.png,generated
ancient-scroll-text,ancient-scroll,古卷轴,中国传统美学,古卷轴,中,text,纯文字页,ancient-scroll-text.png,generated
ancient-scroll-image-text,ancient-scroll,古卷轴,中国传统美学,古卷轴,中,image-text,文字图片页,ancient-scroll-image-text.png,generated
ancient-scroll-data,ancient-scroll,古卷轴,中国传统美学,古卷轴,中,data,数据/要点页,ancient-scroll-data.png,generated
ancient-scroll-closing,ancient-scroll,古卷轴,中国传统美学,古卷轴,中,closing,结尾页,ancient-scroll-closing.png,generated
dunhuang-fresco-cover,dunhuang-fresco,敦煌壁画,中国传统美学,敦煌壁画,中,cover,封面页,dunhuang-fresco-cover.png,generated
dunhuang-fresco-agenda,dunhuang-fresco,敦煌壁画,中国传统美学,敦煌壁画,中,agenda,目录页,dunhuang-fresco-agenda.png,generated
dunhuang-fresco-section,dunhuang-fresco,敦煌壁画,中国传统美学,敦煌壁画,中,section,过渡页,dunhuang-fresco-section.png,generated
dunhuang-fresco-text,dunhuang-fresco,敦煌壁画,中国传统美学,敦煌壁画,中,text,纯文字页,dunhuang-fresco-text.png,generated
dunhuang-fresco-image-text,dunhuang-fresco,敦煌壁画,中国传统美学,敦煌壁画,中,image-text,文字图片页,dunhuang-fresco-image-text.png,generated
dunhuang-fresco-data,dunhuang-fresco,敦煌壁画,中国传统美学,敦煌壁画,中,data,数据/要点页,dunhuang-fresco-data.png,generated
dunhuang-fresco-closing,dunhuang-fresco,敦煌壁画,中国传统美学,敦煌壁画,中,closing,结尾页,dunhuang-fresco-closing.png,generated
song-album-cover,song-album,宋画册页,中国传统美学,宋画册页,中,cover,封面页,song-album-cover.png,generated
song-album-agenda,song-album,宋画册页,中国传统美学,宋画册页,中,agenda,目录页,song-album-agenda.png,generated
song-album-section,song-album,宋画册页,中国传统美学,宋画册页,中,section,过渡页,song-album-section.png,generated
song-album-text,song-album,宋画册页,中国传统美学,宋画册页,中,text,纯文字页,song-album-text.png,generated
song-album-image-text,song-album,宋画册页,中国传统美学,宋画册页,中,image-text,文字图片页,song-album-image-text.png,generated
song-album-data,song-album,宋画册页,中国传统美学,宋画册页,中,data,数据/要点页,song-album-data.png,generated
song-album-closing,song-album,宋画册页,中国传统美学,宋画册页,中,closing,结尾页,song-album-closing.png,generated
porcelain-blue-cover,porcelain-blue,青花瓷,中国传统美学,青花瓷,中,cover,封面页,porcelain-blue-cover.png,generated
porcelain-blue-agenda,porcelain-blue,青花瓷,中国传统美学,青花瓷,中,agenda,目录页,porcelain-blue-agenda.png,generated
porcelain-blue-section,porcelain-blue,青花瓷,中国传统美学,青花瓷,中,section,过渡页,porcelain-blue-section.png,generated
porcelain-blue-text,porcelain-blue,青花瓷,中国传统美学,青花瓷,中,text,纯文字页,porcelain-blue-text.png,generated
porcelain-blue-image-text,porcelain-blue,青花瓷,中国传统美学,青花瓷,中,image-text,文字图片页,porcelain-blue-image-text.png,generated
porcelain-blue-data,porcelain-blue,青花瓷,中国传统美学,青花瓷,中,data,数据/要点页,porcelain-blue-data.png,generated
porcelain-blue-closing,porcelain-blue,青花瓷,中国传统美学,青花瓷,中,closing,结尾页,porcelain-blue-closing.png,generated
lacquer-gold-cover,lacquer-gold,漆器描金,中国传统美学,漆器描金,中,cover,封面页,lacquer-gold-cover.png,generated
lacquer-gold-agenda,lacquer-gold,漆器描金,中国传统美学,漆器描金,中,agenda,目录页,lacquer-gold-agenda.png,generated
lacquer-gold-section,lacquer-gold,漆器描金,中国传统美学,漆器描金,中,section,过渡页,lacquer-gold-section.png,generated
lacquer-gold-text,lacquer-gold,漆器描金,中国传统美学,漆器描金,中,text,纯文字页,lacquer-gold-text.png,generated
lacquer-gold-image-text,lacquer-gold,漆器描金,中国传统美学,漆器描金,中,image-text,文字图片页,lacquer-gold-image-text.png,generated
lacquer-gold-data,lacquer-gold,漆器描金,中国传统美学,漆器描金,中,data,数据/要点页,lacquer-gold-data.png,generated
lacquer-gold-closing,lacquer-gold,漆器描金,中国传统美学,漆器描金,中,closing,结尾页,lacquer-gold-closing.png,generated
shadow-puppet-cover,shadow-puppet,皮影戏,中国传统美学,皮影戏,中,cover,封面页,shadow-puppet-cover.png,generated
shadow-puppet-agenda,shadow-puppet,皮影戏,中国传统美学,皮影戏,中,agenda,目录页,shadow-puppet-agenda.png,generated
shadow-puppet-section,shadow-puppet,皮影戏,中国传统美学,皮影戏,中,section,过渡页,shadow-puppet-section.png,generated
shadow-puppet-text,shadow-puppet,皮影戏,中国传统美学,皮影戏,中,text,纯文字页,shadow-puppet-text.png,generated
shadow-puppet-image-text,shadow-puppet,皮影戏,中国传统美学,皮影戏,中,image-text,文字图片页,shadow-puppet-image-text.png,generated
shadow-puppet-data,shadow-puppet,皮影戏,中国传统美学,皮影戏,中,data,数据/要点页,shadow-puppet-data.png,generated
shadow-puppet-closing,shadow-puppet,皮影戏,中国传统美学,皮影戏,中,closing,结尾页,shadow-puppet-closing.png,generated
royal-court-cover,royal-court,宫廷古风,古风与东方幻想,宫廷古风,中,cover,封面页,royal-court-cover.png,generated
royal-court-agenda,royal-court,宫廷古风,古风与东方幻想,宫廷古风,中,agenda,目录页,royal-court-agenda.png,generated
royal-court-section,royal-court,宫廷古风,古风与东方幻想,宫廷古风,中,section,过渡页,royal-court-section.png,generated
royal-court-text,royal-court,宫廷古风,古风与东方幻想,宫廷古风,中,text,纯文字页,royal-court-text.png,generated
royal-court-image-text,royal-court,宫廷古风,古风与东方幻想,宫廷古风,中,image-text,文字图片页,royal-court-image-text.png,generated
royal-court-data,royal-court,宫廷古风,古风与东方幻想,宫廷古风,中,data,数据/要点页,royal-court-data.png,generated
royal-court-closing,royal-court,宫廷古风,古风与东方幻想,宫廷古风,中,closing,结尾页,royal-court-closing.png,generated
xianxia-mist-cover,xianxia-mist,仙侠云雾,古风与东方幻想,仙侠云雾,中,cover,封面页,xianxia-mist-cover.png,generated
xianxia-mist-agenda,xianxia-mist,仙侠云雾,古风与东方幻想,仙侠云雾,中,agenda,目录页,xianxia-mist-agenda.png,generated
xianxia-mist-section,xianxia-mist,仙侠云雾,古风与东方幻想,仙侠云雾,中,section,过渡页,xianxia-mist-section.png,generated
xianxia-mist-text,xianxia-mist,仙侠云雾,古风与东方幻想,仙侠云雾,中,text,纯文字页,xianxia-mist-text.png,generated
xianxia-mist-image-text,xianxia-mist,仙侠云雾,古风与东方幻想,仙侠云雾,中,image-text,文字图片页,xianxia-mist-image-text.png,generated
xianxia-mist-data,xianxia-mist,仙侠云雾,古风与东方幻想,仙侠云雾,中,data,数据/要点页,xianxia-mist-data.png,generated
xianxia-mist-closing,xianxia-mist,仙侠云雾,古风与东方幻想,仙侠云雾,中,closing,结尾页,xianxia-mist-closing.png,generated
palace-night-cover,palace-night,宫墙夜色,古风与东方幻想,宫墙夜色,中,cover,封面页,palace-night-cover.png,generated
palace-night-agenda,palace-night,宫墙夜色,古风与东方幻想,宫墙夜色,中,agenda,目录页,palace-night-agenda.png,generated
